codice_regione,data,deceduti,denominazione_regione,dimessi_guariti,isolamento_domiciliare,lat,long,note_en,note_it,nuovi_positivi,ricoverati_con_sintomi,stato,tamponi,terapia_intensiva,totale_casi,totale_ospedalizzati,totale_positivi,variazione_totale_positivi
12,2020-03-21T17:00:00,50,Lazio,54,425,41.89277044,12.48366722,,,182,591,ITA,13889,70,1190,661,1086,174
7,2020-03-21T17:00:00,152,Liguria,125,432,44.41149315,8.9326992,,,215,598,ITA,4304,129,1436,727,1159,158
3,2020-03-21T17:00:00,3095,Lombardia,5050,8019,45.46679409,9.190347404,,,3251,8258,ITA,66730,1093,25515,9351,17370,1950
11,2020-03-21T17:00:00,154,Marche,2,1114,43.61675973,13.5188753,,,172,742,ITA,5740,141,2153,883,1997,153
14,2020-03-21T17:00:00,7,Molise,7,20,41.55774754,14.65916051,,,11,21,ITA,449,6,61,27,47,8
1,2020-03-21T17:00:00,238,Piemonte,8,1229,45.0732745,7.680687483,,,291,1976,ITA,10701,301,3752,2277,3506,262
16,2020-03-21T17:00:00,29,Puglia,4,400,41.12559576,16.86736689,,,94,209,ITA,5617,33,675,242,642,91
20,2020-03-21T17:00:00,4,Sardegna,5,240,39.21531192,9.110616306,,,37,65,ITA,2297,16,330,81,321,33
19,2020-03-21T17:00:00,6,Sicilia,26,204,38.11569725,13.3623567,,,82,206,ITA,4883,48,490,254,458,79
9,2020-03-21T17:00:00,72,Toscana,35,1039,43.76923077,11.25588885,,,219,664,ITA,11909,202,2012,866,1905,192
4,2020-03-21T17:00:00,28,P.A. Trento,34,448,46.06893511,11.12123097,,,140,233,ITA,2656,39,782,272,720,120
10,2020-03-21T17:00:00,10,Umbria,5,326,43.10675841,12.38824698,,,67,92,ITA,2712,29,462,121,447,63
2,2020-03-21T17:00:00,8,Valle d'Aosta,1,227,45.73750286,7.320149366,,,49,62,ITA,884,15,313,77,304,47
5,2020-03-21T17:00:00,146,Veneto,257,3023,45.43490485,12.33845213,,,586,942,ITA,53642,249,4617,1191,4214,537
13,2020-03-22T17:00:00,33,Abruzzo,15,272,42.35122196,13.39843823,,,58,218,ITA,3375,49,587,267,539,45
17,2020-03-22T17:00:00,0,Basilicata,0,58,40.63947052,15.80514834,,,15,13,ITA,643,10,81,23,81,15
4,2020-03-22T17:00:00,23,P.A. Bolzano,7,470,46.49933453,11.35662422,,,57,146,ITA,5718,32,678,178,648,48
18,2020-03-22T17:00:00,8,Calabria,5,166,38.90597598,16.59440194,,,38,77,ITA,3666,17,273,94,260,35
15,2020-03-22T17:00:00,29,Campania,41,524,40.83956555,14.25084984,,,92,243,ITA,4943,99,936,342,866,73
8,2020-03-22T17:00:00,816,Emilia-Romagna,349,3692,44.49436681,11.3417208,,,850,2429,ITA,28022,269,7555,2698,6390,729
6,2020-03-22T17:00:00,47,Friuli Venezia Giulia,89,528,45.6494354,13.76813649,,,84,163,ITA,6761,47,874,210,738,72
12,2020-03-22T17:00:00,53,Lazio,58,522,41.89277044,12.48366722,,,193,671,ITA,17845,79,1383,750,1272,186
7,2020-03-22T17:00:00,171,Liguria,143,483,44.41149315,8.9326992,,,229,736,ITA,4995,132,1665,868,1351,192
3,2020-03-22T17:00:00,3456,Lombardia,5865,7304,45.46679409,9.190347404,,,1691,9439,ITA,70598,1142,27206,10581,17885,515
11,2020-03-22T17:00:00,184,Marche,6,1277,43.61675973,13.5188753,,,268,816,ITA,6391,138,2421,954,2231,234
14,2020-03-22T17:00:00,7,Molise,7,21,41.55774754,14.65916051,,,5,24,ITA,532,7,66,31,52,5
1,2020-03-22T17:00:00,283,Piemonte,10,1701,45.0732745,7.680687483,,,668,2118,ITA,12701,308,4420,2426,4127,621
16,2020-03-22T17:00:00,31,Puglia,7,459,41.12559576,16.86736689,,,111,252,ITA,6160,37,786,289,748,106
20,2020-03-22T17:00:00,7,Sardegna,5,244,39.21531192,9.110616306,,,9,67,ITA,2402,16,339,83,327,6
19,2020-03-22T17:00:00,8,Sicilia,26,321,38.11569725,13.3623567,,,140,220,ITA,5580,55,630,275,596,138
9,2020-03-22T17:00:00,91,Toscana,42,1223,43.76923077,11.25588885,,,265,706,ITA,13264,215,2277,921,2144,239
4,2020-03-22T17:00:00,35,P.A. Trento,34,604,46.06893511,11.12123097,,,172,235,ITA,3050,46,954,281,885,165
10,2020-03-22T17:00:00,16,Umbria,5,368,43.10675841,12.38824698,,,59,97,ITA,3135,35,521,132,500,53
2,2020-03-22T17:00:00,9,Valle d'Aosta,1,270,45.73750286,7.320149366,,,51,63,ITA,950,21,364,84,354,50
5,2020-03-22T17:00:00,169,Veneto,309,3276,45.43490485,12.33845213,,,505,1113,ITA,57671,255,5122,1368,4644,430
13,2020-03-23T17:00:00,38,Abruzzo,20,325,42.35122196,13.39843823,,,76,228,ITA,3674,52,663,280,605,66
17,2020-03-23T17:00:00,1,Basilicata,0,62,40.63947052,15.80514834,,,9,15,ITA,696,12,90,27,89,8
4,2020-03-23T17:00:00,29,P.A. Bolzano,7,510,46.49933453,11.35662422,,,46,145,ITA,6084,33,724,178,688,40
18,2020-03-23T17:00:00,7,Calabria,5,178,38.90597598,16.59440194,,,19,82,ITA,4073,20,292,102,280,20
15,2020-03-23T17:00:00,49,Campania,48,553,40.83956555,14.25084984,,,90,266,ITA,5813,110,1026,376,929,63
8,2020-03-23T17:00:00,892,Emilia-Romagna,423,4098,44.49436681,11.3417208,,,980,2846,ITA,31200,276,8535,3122,7220,830
6,2020-03-23T17:00:00,54,Friuli Venezia Giulia,105,545,45.6494354,13.76813649,,,56,185,ITA,7424,41,930,226,771,33
12,2020-03-23T17:00:00,63,Lazio,63,600,41.89277044,12.48366722,,,157,718,ITA,18371,96,1540,814,1414,142
7,2020-03-23T17:00:00,212,Liguria,159,659,44.41149315,8.9326992,,,259,761,ITA,5538,133,1924,894,1553,202
3,2020-03-23T17:00:00,3776,Lombardia,6075,8461,45.46679409,9.190347404,,,1555,9266,ITA,73242,1183,28761,10449,18910,1025
11,2020-03-23T17:00:00,203,Marche,8,1328,43.61675973,13.5188753,,,148,882,ITA,6782,148,2569,1030,2358,127
14,2020-03-23T17:00:00,7,Molise,10,18,41.55774754,14.65916051,,,1,25,ITA,532,7,67,32,50,-2
1,2020-03-23T17:00:00,315,Piemonte,17,1992,45.0732745,7.680687483,,,441,2194,ITA,13560,343,4861,2537,4529,402
16,2020-03-23T17:00:00,37,Puglia,7,532,41.12559576,16.86736689,,,120,285,ITA,6761,45,906,330,862,114
20,2020-03-23T17:00:00,11,Sardegna,5,249,39.21531192,9.110616306,,,20,76,ITA,2568,18,359,94,343,16
19,2020-03-23T17:00:00,13,Sicilia,27,371,38.11569725,13.3623567,,,91,250,ITA,6375,60,721,310,681,85
9,2020-03-23T17:00:00,109,Toscana,51,1225,43.76923077,11.25588885,,,184,838,ITA,13851,238,2461,1076,2301,157
4,2020-03-23T17:00:00,41,P.A. Trento,68,619,46.06893511,11.12123097,,,69,249,ITA,3150,46,1023,295,914,29
10,2020-03-23T17:00:00,16,Umbria,5,408,43.10675841,12.38824698,,,56,106,ITA,3561,42,577,148,556,56
2,2020-03-23T17:00:00,12,Valle d'Aosta,2,290,45.73750286,7.320149366,,,29,69,ITA,1098,20,393,89,379,25
5,2020-03-23T17:00:00,192,Veneto,327,3499,45.43490485,12.33845213,,,383,1206,ITA,61115,281,5505,1487,4986,342
13,2020-03-24T17:00:00,46,Abruzzo,21,331,42.35122196,13.39843823,,,26,234,ITA,4294,57,689,291,622,17
17,2020-03-24T17:00:00,1,Basilicata,0,65,40.63947052,15.80514834,,,2,14,ITA,744,12,92,26,91,2
4,2020-03-24T17:00:00,38,P.A. Bolzano,44,495,46.49933453,11.35662422,,,57,166,ITA,6509,38,781,204,699,11
18,2020-03-24T17:00:00,10,Calabria,5,195,38.90597598,16.59440194,,,27,88,ITA,4486,21,319,109,304,24
15,2020-03-24T17:00:00,56,Campania,53,466,40.83956555,14.25084984,,,75,345,ITA,6297,181,1101,526,992,63
